abs_English,abs_Chinese,abs_Original
Touch screen display|The invention relates to a touch screen having a display screen and an ultrasonic device. Such ultrasonic devices may include sensor arrays that use piezoelectric sensors to detect the surface topology of biological objects or other objects that it contacts with the surface of the display. The display may be a liquid crystal display (LCD-liquid crystal display) or a light emitting diode display (LED-light emitting diode).,触摸屏；触摸屏|本发明涉及一种具有显示屏和超声波装置的触摸屏。 这种超声波装置可以包括使用压电传感器来检测生物物体或它与显示器表面接触的其他物体的表面拓扑的传感器阵列。 显示器可以是液晶显示器(LCD-液晶显示器)，也可以是发光二极管显示器(LED-发光二极管)。,MÀN HÌNH CẢM ỨNG|Sáng chế đề cập đến màn hình cảm ứng có màn hình hiển thị và thiết bị siêu âm. Thiết bị siêu âm này có thể bao gồm dãy cảm biến sử dụng các cảm biến áp điện để phát hiện tôpô bề mặt của đối tượng sinh học hoặc đối tượng khác mà nó tiếp xúc với bề mặt của màn hình. Màn hình có thể là màn hình tinh thể lỏng (LCD - Liquid Crystal Display) hoặc màn hình điốt phát sáng (LED - Light Emitting Diode).
"Electronic device with display screen and method of operating the same|The present invention relates to electronic devices including these displays and methods of operating these electronic devices. The electronic device may include :  a first body assembly;  The second body assembly is coupled with the first body assembly such that one side thereof can be contacted with one side of the first body assembly;  The first display screen is disposed on the other side of the first body assembly and faces the first direction;  The display screen is disposed on the other side of the second main body assembly and faces the second direction;  Sensors for collecting direction information of electronic equipment;  And processors,  A control screen for step-by-step displaying the first application program on the first display,  The second application program of the step of determining whether the electronic device is flipped or not according to the direction information,  and displaying the first control screen of the second application program on the display screen if the included angle between the first main body component and the second main body component is less than a predetermined critical angle in the application program stored in the electronic device and the electronic device is determined to be flipped.",具有这些显示屏的电子设备和操作这些电子设备的方法|本发明涉及包括这些显示器的电子设备和操作这些电子设备的方法。 所述电子装置可以包括 : 第一本体组件； 所述第二本体组件与所述第一本体组件耦接，使得其一侧可与所述第一本体组件的一侧相接触； 第一显示屏设置在第一本体组件的另一侧，并朝向第一方向； 显示屏幕设置在第二主体组件的另一侧，并朝向第二方向； 传感器，用于采集电子设备的方向信息； 以及处理器，用于在第一显示器上步骤地显示第一应用程序的控制画面， 根据方向信息判断电子设备是否翻转， 在电子设备中保存的应用程序中，如果第一主体组件与第二主体组件之间的夹角小于预定临界角，并且电子设备被确定为翻转，在显示屏幕上显示第二应用程序的第一控制屏的步骤的第二应用程序。,"THIẾT BỊ ĐIỆN TỬ CÓ CÁC MÀN HIỂN THỊ VÀ PHƯƠNG PHÁP VẬN HÀNH THIẾT BỊ ĐIỆN TỬ NÀY|Sáng chế đề cập đến thiết bị điện tử bao gồm các màn hiển thị và phương pháp vận hành thiết bị điện tử này. Thiết bị điện tử có thể bao gồm :  cụm thân thứ nhất;  cụm thân thứ hai được gắn khớp nối với cụm thân thứ nhất sao cho một phía của nó có thể tiếp xúc với một phía của cụm thân thứ nhất;  màn hiển thị thứ nhất được bố trí trên phía còn lại của cụm thân thứ nhất và hướng theo hướng thứ nhất;  màn hiển thị được bố trí trên phía còn lại của cụm thân thứ hai và hướng theo hướng thứ hai;  bộ cảm biến để thu thông tin hướng của thiết bị điện tử;  và bộ xử lý để bước hiển thị trên màn hiển thị thứ nhất màn hình điều khiển của ứng dụng thứ nhất,  xác định xem thiết bị điện tử có bị lật hay không trên cơ sở của thông tin hướng,  xác định ứng dụng thứ hai đối với bước hiển thị màn hình điều khiển trên màn hiển thị trong số các ứng dụng được lưu trong thiết bị điện tử nếu góc giữa cụm thân thứ nhất và cụm thân thứ hai là nhỏ hơn so với góc tới hạn định trước và thiết bị điện tử được xác định là đã bị lật và hiển thị màn hình điều khiển thứ nhất của ứng dụng thứ hai trên màn hiển thị."
"Shock sensor|The invention provides an impact sensor,  which has good insulation characteristics even at (150 C) or higher operating temperatures and has advantages in accuracy of impact detection. The impact sensor (10) includes a sensor block (20) comprising :  a metal bushing (12) including a cylindrical portion (12a) and a flange portion (12b) positioned at one end of the cylindrical portion (12a) and protruding outwardly in the glass direction;  A ring-shaped piezoelectric element (15);  The upper and lower electrode rings (16) and (14) are superimposed on the upper and lower surfaces of the piezoelectric element (15);  The weight portion (17) is provided such that the piezoelectric element (15) is sandwiched between the weight portion and the flange portion (12b);  A bottom insulating ring (13) is provided between the flange portion (12b) and the bottom electrode ring (14);  And an upper insulating sealing ring (13T) arranged between the upper electrode ring (16) and the counterweight part (17);  And a plastic housing (11) which is wrapped around the sensor block (20). Next,  the thickness of each of the upper (16) and lower (14) insulating tapes is between (0.05 mm) and (0.50 mm),  and a plastic casing (11) is made of polyphenylene sulfide having good heat resistance.",冲击式传感器|本发明提出一种冲击传感器，它是一种即使在(150°C)或更高的工作温度下也具有良好的绝缘特性，并且在冲击检测的准确性方面具有优越性的传感器。 该冲击传感器(10)包括传感器块(20)，其包括 : 金属衬套(12)，该金属衬套包括圆柱形部分(12a)和凸缘部分(12b)，位于圆柱形部分(12a)的一端并沿玻璃方向向外突出； 圆环型压电元件(15)； 上，下电极环(16)和(14)叠加在压电元件(15)的上，下表面上； 配重部分(17)设置成压电元件(15)被夹在配重部分和凸缘部分(12b)的中间； 底部绝缘环(13)设置在凸缘部(12b)和底部电极环(14)的中间； 以及设置在上电极环(16)与配重部(17)中间的上绝缘密封圈(13T)； 以及塑料外壳(11)，其包裹在传感器块(20)上。 接着，上(16)和下(14)绝缘带中的每个的厚度在(0.05 mm)到(0.50 mm)之间，用具有良好耐热性的聚苯硫醚制成的塑料外壳(11)。,"BỘ CẢM BIẾN VA ĐẬP|Sáng chế đề xuất bộ cảm biến va đập là bộ cảm biến có các đặc tính cách điện tốt ngay cả ở nhiệt độ vận hành là (150°C) hoặc cao hơn và là ưu việt về độ chính xác của sự phát hiện sự va đập.     Bộ cảm biến va đập (10) bao gồm khối cảm biến (20) bao gồm :  ống lót kim loại (12) bao gồm phần dạng hình trụ (12a) và phần mặt bích (12b) được định vị ở một đầu của phần dạng hình trụ (12a) và nhô ra phía ngoài theo hướng kính;  thành phần áp điện dạng vành tròn (15);  các vành điện cực phía trên và phía dưới (16) và (14) được chồng lên trên các bề mặt phía trên và phía dưới của thành phần áp điện (15);  phần đối trọng (17) được bố trí sao cho thành phần áp điện (15) được chốn vào giữa phần đối trọng và phần mặt bích (12b);  vành cách điện phía dưới (13) được bố trí ở giữa phần mặt bích (12b) và vành điện cực phía dưới (14);  và vòng đệm cách điện phía trên (13t) được bố trí ở giữa vành điện cực phía trên (16) và phần đối trọng (17);  và vỏ nhựa (11) bọc lên khối cảm biến (20). Tiếp theo,  chiều dày của từng vành cách điện phía trên (16) và phía dưới (14) là nằm trong khoảng từ (0, 05mm) đến (0, 50mm) và vỏ nhựa (11) được làm từ polyphenylen sunfua có tính chịu nhiệt tốt."
"Engines and saddle cars equipped with such engines|The invention provides an engine in which even if an oxygen concentration sensor is installed at a high-temperature exhaust position in a cylinder head,  the oxygen concentration sensor can be prevented from protruding from a portion outside the cylinder head and the possibility of an engine size increase can be reduced. In addition,  the invention also proposes a saddle-shaped vehicle equipped with such an engine. The motor (36) includes a cylinder head (46) having a protrusion (66) protruding outwardly from the cylinder head body (65);  A combustion chamber generation unit (70) is generated in the main body of the cylinder head (65);  An exhaust gas passage (80) passes through the protruding portion (66) from the combustion chamber generating portion (70) to discharge the exhaust gas out of the combustion chamber generating portion (70);  And an oxygen concentration sensor (50) having a body portion (118) and a measuring portion (120). An oxygen concentration sensor (50) is mounted in the protruding portion (66). The main body portion (118) and the measuring portion (120) overlap on the protruding portion (66) when viewed in the A-axis direction of the cylinder. In addition,  at least a part of the measuring portion (120) is located inside the discharge circuit 80.",发动机和装有这种发动机的鞍型车辆|本发明提出了一种发动机，其中即使将氧浓度传感器安装在气缸盖内高温排气的位置，也能防止氧浓度传感器从气缸盖外的突出部分，减小发动机尺寸增大的可能性。 此外，本发明还提出了一种装有这种发动机的鞍形车辆。 电机(36)包括 : 气缸盖(46)，其具有从气缸盖主体(65)向外突出的突出部(66)； 燃烧室生成部(70)生成在气缸盖(65)的主体内； 排出气体通路(80)从燃烧室产生部分(70)穿过突起部分(66)，将排出气体排出燃烧室产生部分(70)； 以及氧浓度传感器(50)，其具有主体部分(118)和测量部分(120)。 氧浓度传感器(50)安装在突出部分(66)中。 主体部分(118)和测量部分(120)在沿圆筒的A轴方向观察时重叠在突起部分(66)上。 此外，测量部分(120)的至少一部分位于放电气路80的内部。,"ĐỘNG CƠ VÀ XE DẠNG YÊN NGỰA ĐƯỢC TRANG BỊ ĐỘNG CƠ NÀY|Sáng chế đề xuất động cơ trong đó phần nhô của cảm biến nồng độ oxy ra khỏi đầu xi lanh có thể bị ngăn chặn và khả năng tăng kích thước của động cơ được giảm thậm chí nếu cảm biến nồng độ oxy được lắp ở vị trí mà ở đó khí xả có nhiệt độ cao trong đầu xi lanh. Ngoài ra,  sáng chế còn đề xuất xe dạng yên ngựa được trang bị động cơ này. Động cơ (36) bao gồm :  đầu xi lanh (46) có phần nhô (66) nhô ra ngoài từ thân chính của đầu xi lanh (65);  phần lâm tạo ra buồng đốt (70) được tạo ra trong thân chính của đầu xi lanh (65);  đường dẫn khí xả (80) đi từ phần lâm tạo ra buồng đốt (70) qua phần nhô (66) để xả khí xả ra khỏi phần lâm tạo ra buồng đốt (70);  và cảm biến nồng độ oxy (50) có phần thân chính (118) và phần đo (120). Cảm biến nồng độ oxy (50) được lắp vào phần nhô (66). Phần thân chính (118) và phần đo (120) chồng lên phần nhô (66) khi nhìn theo hướng trục A của xi lanh. Hơn nữa,  ít nhất một phần của phần đo (120) nằm bên trong đường dẫn khí xả 80."
"Electronic device with curved surface shape display and display method thereof|The invention relates to an electronic device with an arc-shaped display and a display method thereof. The electronic device according to the present invention has a curved-shaped display,  a sensor,  and a processor. The arc display has a front display area,  a side surface display area and a rear surface display area corresponding to the front,  side and rear surfaces of the electronic device,  respectively. Sensors detect the movement of electronic equipment. If an event occurs while displaying content in the front display area,  the processor controls the arc display to display a graphic object corresponding to the event in the front display area,  and controls the arc display to display a first display & Image1 graphic corresponding to the object in the back display area according to the detected motion of the electronic device.",具有弧形显示器的电子设备及其显示方法|本发明涉及一种具有弧形显示器的电子设备及其显示方法。 根据本发明的电子设备具有弯曲形状的显示器，传感器和处理器。 所述弧形显示器具有分别对应于所述电子设备的前，侧，后表面的前显示区，侧表面显示区和后表面显示区。 传感器检测电子设备的运动。 如果在正面显示区域中显示内容的同时发生事件，则处理器控制弧形显示器在正面显示区域中显示与事件对应的图形对象，并根据电子设备的检测到的运动控制弧形显示器在背面显示区域中显示与对象对应的第一显示器&Image1图形。,"THIẾT BỊ ĐIỆN TỬ CÓ MÀN HÌNH DẠNG CONG VÀ PHƯƠNG PHÁP HIỂN THỊ CỦA THIẾT BỊ NÀY|Sáng chế đề cập tới thiết bị điện tử có màn hình dạng cong và phương pháp hiển thị của thiết bị này. Thiết bị điện tử theo sáng chế có màn hình dạng cong,  bộ cảm biến,  và bộ xử lý. Màn hình dạng cong có vùng hiển thị mặt trước,  vùng hiển thị mặt bên,  và vùng hiển thị mặt sau lần lượt tương ứng với mặt trước,  mặt bên,  và mặt sau của thiết bị điện tử. Bộ cảm biến phát hiện chuyển động của thiết bị điện tử. Nếu một sự kiện xảy ra trong khi nội dung được hiển thị ở vùng hiển thị mặt trước,  bộ xử lý điều khiển màn hình dạng cong để hiển thị một đối tượng đồ họa tương ứng với sự kiện ở vùng hiển thị mặt trước,  và điều khiển màn hình dạng cong để hiển thị màn hiển thị thứ nhất tương ứng với đối tượng&lt; Image1  đồ họa ở vùng hiển thị mặt sau dựa trên chuyển động phát hiện được của thiết bị điện tử."
"Sensor Setup|The fabricated sensor mount (10) has :  a ray-shaped sensor holder (28) having a first sidewall (36) in which a first connection hole (48) is created;  A belt portion (30) having a first protruding portion (64) wound on an outer periphery (15) of the cylindrical tube (14);  And a fastening mechanism (32) for fastening the belt part (30),  and is arranged in a deflected position along the outer periphery (15) of the cylindrical tube (14) on the substrate with the sensor holding part (28).",传感器安装单元|制作的传感器安装件(10)具有 : 射线形状传感器保持件(28)，其具有第一侧壁(36)，其中创建有第一连接孔(48)； 带部(30)，其具有第一突起部(64)，并使其在所述圆筒管(14)的外周(15)上缠绕； 以及紧固机构(32)，用于紧固带部(30)，并与传感器保持部(28)在基板上沿圆筒管(14)的外周(15)设置在偏转位置。,"BỘ LẮP CẢM BIẾN|Bộ lắp cảm biến (10) được tạo có :  phần giữ cảm biến dạng ray (28) có thành bên thứ nhất (36) mà lỗ nối thứ nhất (48) được tạo trong đó;  phần đai (30) mà có phần nhô thứ nhất (64),  và được tạo để được quấn trên bề mặt theo chu vi ngoài (15) của ống xi lanh (14);  và cơ cấu bắt chặt (32) mà để bắt chặt phần đai (30),  và được bố trí ở vị trí lệch với phần giữ cảm biến (28) trên bề mặt theo chu vi ngoài (15) của ống xi lanh (14)."
"Electronic device and method of controlling an image sensor unit in the electronic device|The invention relates to an electronic device and a method for modulating an image sensor in the electronic device. An electronic device according to an embodiment of the present invention includes a power supply module and an image sensor,  wherein the image sensor has a pixel array having a plurality of pixels;  The analog-to-digital form converter belongs to the first group and is used for converting the amount of light obtained through the pixel array into a first digital form signal;  And an analog-to-digital form converter belonging to a second group adjacent to the first group and for converting power supplied from the power supply module to the image sensor into a second digital form signal.",电子设备和控制电子设备中图像传感器的方法|本发明涉及一种电子设备和用于在该电子设备中调制图像传感器的方法。 根据本发明实施例的电子设备包括电源模块和图像传感器，其中图像传感器具有 : 具有多个像素的像素阵列； 模拟-数字形式转换器属于第一组，用于将通过像素阵列获得的光量转换为第一数字形式信号； 以及模拟-数字形式转换器，其属于与所述第一组相邻的第二组，并且用于将从电源模块提供给所述图像传感器的功率转换为第二数字形式信号。,"THIẾT BỊ ĐIỆN TỬ VÀ PHƯƠNG PHÁP ĐIỀU KHIỂN BỘ CẢM BIẾN HÌNH ẢNH TRONG THIẾT BỊ ĐIỆN TỬ|Sáng chế đề cập đến thiết bị điện tử và phương pháp điều khiền bộ cảm biến hình ảnh trong thiết bị điện tử. Thiết bị điện tử theo các phương án thực hiện sáng chế bao gồm môđun nguồn điện và bộ cảm biến hình ảnh,  trong đó bộ cảm biến hình ảnh có :  mảng điểm ảnh có nhiều điểm ảnh;  bộ biến đổi dạng tương tự-dạng số thuộc nhóm thứ nhất để biến đổi lượng ánh sáng thu được qua mảng điểm ảnh thành tín hiệu dạng số thứ nhất;  và bộ biến đổi dạng tương tự-dạng số thuộc nhóm thứ hai liền kề với nhóm thứ nhất và để biến đổi điện năng được cung cấp từ môđun nguồn điện cho bộ cảm biến hình ảnh thành tín hiệu dạng số thứ hai."
"Sheet metal machining system and real-time position detection method of such material|The invention relates to a processing system and a method for real-time position detection of plate-like materials. In the sheet material processing system of the invention,  a detection position is arranged in a conveying path,  and a position sensor is arranged at each detection position to detect an arrival state and a departure state of the sheet material relative to the detection position;  The difference is that the position sensor at the first detection position in the movement direction of the sheet material has at least three independent detection points,  each output point of the detection points outputs an independent output signal,  and each detection point is provided with two timers for collecting the time attribute of the output signal of each detection point;  And the position sensor arranged at each other detection position set has a timer for acquiring the time attribute of the output signal of the common position sensor.",板料加工系统及对这种材料进行实时位置检测的方法|本发明涉及一种板状材料实时位置检测的处理系统和方法。 本发明的片状物料处理系统中，在输送路径中设置检测位置，在各检测位置设置位置传感器，检测片状物料相对于检测位置的到达状态和离开状态； 其不同之处在于，位于片状材料移动方向上的第一检测位置的位置传感器具有至少三个独立检测点，这些检测点中的每个输出点输出独立的输出信号，每个检测点设置有两个定时器，用于采集每个检测点的输出信号的时间属性； 以及布置在设置的每个其它检测位置的位置传感器具有用于获取公共位置传感器的输出信号的时间属性的定时器。,"HỆ THỐNG XỬ LÝ CHẤT LIỆU DẠNG TỜ VÀ PHƯƠNG PHÁP PHÁT HIỆN VỊ TRÍ THEO THỜI GIAN THỰC CỦA CHẤT LIỆU NÀY|Sáng chế đề cập tới hệ thống xử lý và phương pháp phát hiện vị trí theo thời gian thực của chất liệu dạng tờ. Trong hệ thống xử lý chất liệu dạng tờ theo sáng chế,  các vị trí phát hiện được thiết lập trong đường dẫn vận chuyển và một bộ cảm biến vị trí được bố trí ở từng vị trí phát hiện để phát hiện trạng thái đến và trạng thái rời đi của chất liệu dạng tờ so với vị trí phát hiện;  và khác biệt ở chỗ,  bộ cảm biến vị trí nằm ở vị trí phát hiện thứ nhất theo hướng di chuyển của chất liệu dạng tờ có ít nhất ba điểm phát hiện độc lập,  từng điểm phát hiện này đưa ra một tín hiệu đầu ra độc lập,  và từng điểm phát hiện được thiết lập có hai bộ định thời để thu thập thuộc tính thời gian của tín hiệu đầu ra của từng điểm phát hiện;  và bộ cảm biến vị trí được bố trí ở từng vị trí phát hiện khác được thiết lập có một bộ định thời để thu thập thuộc tính thời gian của tín hiệu đầu ra của bộ cảm biến vị trí chung."
"Flat panel display device with image sensor mount|The invention relates to a flat panel display panel mounted with an optical image sensor,  such as a fingerprint image sensor. The invention relates to a flat panel display panel equipped with an image sensor,  which comprises a display panel including a display area and a non-display area;  And a directional optical unit having a length and a width corresponding to the display panel and a thickness,  mounted on the top surface of the display panel,  wherein the directional optical unit includes a first cover plate and a second cover plate having a size corresponding to the length and the width,  and is connected by a first low refraction layer between the first cover plate and the second cover plate;  The light emitting film corresponds to a display area under the second cover plate;  The photoluminescent film is arranged outside the display area on one side of the luminescent film and under the second cover plate;  The second low refraction layer is arranged under the light emitting film and the light direction film and is installed on the top surface of the display panel;  And a light source disposed on a side surface of the display panel as a direction toward the light toward the thin film. & L;  Image1",安装图像传感器的平板显示装置|本发明涉及安装光学图像传感器(如指纹图像传感器)的平板显示面板。 本发明涉及一种安装图像传感器的平板显示面板，包括 : 显示面板，包括显示区域和非显示区域； 以及具有与显示面板和厚度相对应的长度和宽度的定向光学单元，安装在显示面板的顶面上，其中，定向光学单元包括 : 尺寸与长度和宽度相对应的第一盖板和第二盖板，并通过第一盖板和第二盖板之间的第一低折射层连接； 发光膜对应于第二覆盖板下的显示区域； 光致发光膜设置在发光膜一侧的显示区域外，位于第二盖板之下； 第二低折射层设置在发光膜和光向膜之下，安装在显示板的顶面上； 以及光源，设置在显示面板的侧面上，作为朝向所述薄膜的朝向所述光的方向。 &L；Image1,"THIẾT BỊ HIỂN THỊ BẢNG DẸT GẮN CẢM BIẾN HÌNH ẢNH|Sáng chế này đề cập đến bảng hiển thị dẹt gắn cảm biến hình ảnh quang học chẳng hạn như cảm biến hình ảnh dấu vân tay. Sáng chế này đề cập đến bảng hiển thị dẹt gắn cảm biến hình ảnh bao gồm :  bảng hiển thị bao gồm vùng hiển thị và vùng không hiển thị;  và bộ phận quang học định hướng có độ dài và độ rộng tương ứng với bảng hiển thị và độ dày,  và được gắn trên bề mặt đỉnh của bảng hiển thị,  trong đó bộ phận quang học định hướng bao gồm :  tấm phủ thứ nhất và tấm phủ thứ hai có kích thước tương ứng với độ dài và độ rộng và nối với nhau bởi lớp khúc xạ thấp thứ nhất giữa tấm phủ thứ nhất và tấm phủ thứ hai;  màng phát sáng tương ứng với vùng hiển thị dưới tấm phủ thứ hai;  màng tới ánh sáng được bố trí bên ngoài vùng hiển thị ở một phía bên của màng phát sáng,  dưới tấm phủ thứ hai;  lớp khúc xạ thấp thứ hai được bố trí dưới màng phát sáng và màng tới ánh sáng,  và được gắn trên bề mặt đỉnh của bảng hiển thị;  và nguồn sáng được bố trí ở phía bên của bảng hiển thị như hướng về màng tới ánh sáng. &lt; Image1"
"Sensor device and board for measuring biological information|The invention provides a device and a sensor board for measuring biological information,  wherein a terminal (300) is mounted to the sensor board (100) by a latch tab (131) extending from the sensor board (100). This helps to reduce the discomfort of the object caused by the presence of the terminal (300),  and produces a biological information measuring device that can reduce the discomfort of the object caused by the device,  for example,  on a larger scale in the case where the entire opposite surface of the terminal (300) is mounted to the sensor plate (100).",测量生物信息的仪器和传感板|本发明提供了一种测量生物信息的装置和传感器板，其中终端(300)通过从传感器板(100)延伸的闩锁片(131)安装到传感器板(100)上。 这有助于减少由于终端(300)的存在而引起的对象的不适感，并且产生一种生物信息测量装置，可以减少该装置对对象造成的不适感，在例如终端(300)的整个相对表面安装到传感器板(100)的情况下的更大尺度。,"THIẾT BỊ VÀ TẤM CẢM BIẾN ĐO THÔNG TIN SINH HỌC|Sáng chế đề xuất thiết bị và tấm cảm biến đo thông tin sinh học,  trong đó thiết bị đầu cuối (300) được gắn vào tấm cảm biến (100) bằng mảnh chốt (131) kéo dài từ tấm cảm biến (100). Điều này giúp giảm cảm giác khó chịu của đối tượng do sự hiện diện của thiết bị đầu cuối (300),  và tạo ra thiết bị đo thông tin sinh học có thể làm giảm cảm giác khó chịu do thiết bị gây ra cho đối tượng,  đến quy mô lớn hơn trong trường hợp,  ví dụ,  toàn bộ bề mặt đối diện của thiết bị đầu cuối (300) được gắn vào tấm cảm biến (100)."
"Electronic device with a plurality of displays|The invention relates to an electronic device having a plurality of displays. The electronic device has a folded housing,  It includes a first housing portion having a first surface and a second housing portion facing the first surface,  the second housing portion having a first housing portion facing the first surface of the first housing portion and a second housing portion facing the second surface of the second housing portion when the housing is folded in the first direction. The electronic device has a first display,  A second display,  a first sensor disposed in the first housing portion,  a second sensor disposed in the second housing portion,  the processor being adapted to identify an included angle between the first housing portion and the second housing portion using the first sensor and the second sensor,  and to perform at least one operation of the electronic device according to the recognized included angle.",具有多个显示器的电子设备|本发明涉及一种具有多个显示器的电子设备。 这种电子装置具有折叠壳体，其包括具有第一表面的第一壳体部分和朝向第一表面的第二壳体部分，当壳体朝第一方向折叠时第二壳体部分具有朝向第一壳体部分第一表面的第一壳体部分和朝向第二壳体部分第二表面的第二壳体部分。 电子设备具有第一显示器，第二显示器，设置在第一壳体部分的第一传感器，设置在第二壳体部分的第二传感器，处理器适于利用第一传感器和第二传感器识别第一壳体部分和第二壳体部分之间的夹角，并根据可识别的夹角执行电子设备的至少一个操作。,"THIẾT BỊ ĐIỆN TỬ CÓ NHIỀU MÀN HÌNH|Sáng chế đề cập tới thiết bị điện tử có nhiều màn hình. Thiết bị điện tử này có vỏ gập được gồm phần vỏ thứ nhất có bề mặt thứ nhất và bề mặt thứ hai đối diện với bề mặt thứ nhất,  phần vỏ thứ hai có bề mặt thứ nhất đối diện với bề mặt thứ nhất của phần vỏ thứ nhất khi vỏ được gập theo hướng thứ nhất và bề mặt thứ hai đối diện với bề mặt thứ hai của phần vỏ thứ nhất khi vỏ được gập theo hướng thứ hai. Thiết bị điện tử có màn hình thứ nhất,  màn hình thứ hai,  cảm biến thứ nhất được bố trí trong phần vỏ thứ nhất,  cảm biến thứ hai được bố trí trong phần vỏ thứ hai,  và bộ xử lý được làm thích ứng để nhận dạng góc giữa phần vỏ thứ nhất và phần vỏ thứ hai bằng cách sử dụng cảm biến thứ nhất và cảm biến thứ hai và thực hiện ít nhất một hoạt động của thiết bị điện tử dựa trên góc nhận dạng được."
"Sensor Board|The present invention provides a sensor plate 100,  which includes :  a lower plate 110 placed on the skin of a subject;  The upper plate 120 is located on the surface of the lower plate 110;  And the circuit channel 130 is disposed in a region corresponding to the upper plate 120. The outer edge portion 110a has a layer configured to include only the lower plate 110. The intermediate region has a multi-layer structure including a lower plate 110 and an upper plate 120. As such,  that skin attachment ability at the out edge portion 110a of the electrode plate is enhanced,  the outer edge portion often cause itching,  and the circuit segment 130 can be firmly held in the intermediate region,  whereby the sensor electrode plate 100 can reduce the itching sensation of the subject without reducing the measurement accuracy when the sensor electrode plate 100 is mounted on the subject for a long time.",传感器板|本发明提出了一种传感器板100，其包括 : 放置在被测者皮肤上的下板110； 上板120位于下板110的表面上； 以及电路通道130设置在与上板120相对应的区域中。 外缘部110a具有构成仅包括下板110的层。 中间区域具有包括下板110和上板120的多层结构。 这样，增强了在极板外缘部110a处的皮肤附着能力，外缘部经常发生瘙痒，电路段130可以牢固地保持在中间区域，由此可以得到当此传感器极板100长时间地安装在被测者上时，可以减少被测者的瘙痒感而不降低测量精度的传感器极板100。,"TẤM CẢM BIẾN|Sáng chế đề xuất tấm cảm biến 100 bao gồm :  tấm dưới 110 được đặt lên da của đối tượng;  tấm trên 120 được đặt trên bề mặt của tấm dưới 110;  và đoạn mạch điện 130 được đặt trong vùng tương ứng với tấm trên 120. Phần mép ngoài 110a có cấu tạo một lớp chỉ bao gồm tấm dưới 110. Vùng giữa có cấu tạo nhiều lớp bao gồm tấm dưới 110 và tấm trên 120. Theo cách này,  khả năng bám theo da tại phần mép ngoài 110a của tấm được tăng cường,  phần mép ngoài thường xảy ra ngứa,  đoạn mạch điện 130 có thể được giữ chắc chắn tại vùng giữa,  và nhờ đó có thể thu được tấm cảm biến 100 có thể làm giảm cảm giác ngứa của đối tượng mà không làm giảm độ chính xác của phép đo khi tấm cảm biến 100 này được gắn lên đối tượng trong khoảng thời gian dài."
"The invention relates to a system for testing gas material characteristics of a thin film sensor.|The invention provides a thin film sensor gas material performance testing system which is composed of a sensor gas testing system and a thin film sensor gas testing system. A small-sized probe unit mechanism is designed at the station part of the probe unit. The position regulator can finely regulate the position of the probe within the range of not more than 1 ml,  and can freely regulate the position and move on three axes. The base of the floating heater is made of nickel-chromium coils. In this manner,  the coil is placed between two poles with a thermocouple cup type temperature sensor located in the ceramic tube,  and the temperature is measured from the back side of the sensor base.",一种测试薄膜传感器气体材料特性的系统。|本发明提供了一种薄膜传感器气体材料性能测试系统，由传感器气体测试系统两部分组成。在探头单元的工位部分，设计了一种小型探头单元机构。位置调节器，可在不超过1毫升的范围内微调探头位置，并可在三轴上自由调整位置和移动。浮式加热器底座由镍铬线圈制成。以这种方式，线圈被放置在两个两极之间，其中具有位于陶瓷管中的热电偶杯式温度传感器，从传感器基座的背面测量温度。,ระบบสำหรับการทดสอบคุณสมบัติวัสดุก๊าซเซนเซอร์แบบฟิล์ม|การประดิษฐ์นี้ได้แสดงถึงระบบสำหรับการทดสอบคุณสมบัติวัสดุก๊าซเซนเซอร์แบบฟิล์มประกอบด้วย 2 ส่วน คือ ระบบทดสอบก๊าซเซนเซอร์ ในส่วนสถานีของชุดหัวโพรบได้มีออกแบบกลไกชุดโพรบที่มีขนาดเล็ก ตัวปรับตำแหน่งที่สามารถปรับตำแหน่งของโพรบได้ละเอียดในระดับที่เล็กไม่เกิน1 มิลลิลิตร โดยมีอิสระในการปรับตำแหน่งและการเคลื่อนที่ได้ใน 3 แกน ในส่วนของชุดฐานตัวทำความร้อนแบบลอยทำมาจากขดลวดนิกเกิลโครเมียม ในลักษณะที่ขดลวดถูกขึงระหว่างเสาสองด้านซึ่งมีเซนเซอร์วัดอุณหภูมิชนิดเทอร์โมคัพเปิลที่อยู่ในท่อเซรามิค เพื่อวัดอุณหภูมิจากด้านหลังของแผ่นฐานรองวางตัวเซนเซอร์
